"","sample_id","institution","catalognumber","field.number","sex","ossification","notes","verbatimeventdate","stateprovince","verbatimlocality","decimallatitude","decimallongitude","scientificname","site","recordnumber","day.year","weight","Ltestislength","Ltestiswidth","Rtestislength","Rtestiswidth","total.testis.area","mtDNA","bill.width","bill.length","tarsus","wing","nape","back","rump","flanks","breast.underwing.coverts","male.total","throat.breast.side.of.neck","yellow","streaking","female.total","distance","passed.genomic.filtering","mac.lud.q","mac.mel.q"
"134","P_melanocephalus_44801","DMNS",44801,"GMS-2386","male","100","",39245,"South Dakota","SD; Haakon County; Midland 4mi W",44.0870364,-101.0643814,"Pheucticus melanocephalus",3,"GMS2386",163,48.1,11,8,11,9,187,1,9.84,12.75,19.4,99,2,2,2,2,4,12,NA,NA,NA,NA,246,TRUE,1e-05,0.99999
"135","P_melanocephalus_44802","DMNS",44802,"GMS-2387","male","100","",39245,"South Dakota","SD; Haakon County; Midland 4mi W",44.08609578,-101.0681841,"Pheucticus melanocephalus",3,"GMS2387",163,46.3,10,7,8,7,126,1,10.38,12.9,22.13,102,2,2,2,2,4,12,NA,NA,NA,NA,246,TRUE,0.015921,0.984079
"136","P_melanocephalus_44803","DMNS",44803,"GMS-2388","male","100","",39245,"South Dakota","SD; Haakon County; Midland 4mi W",44.08487362,-101.0694181,"Pheucticus melanocephalus",3,"GMS2388",163,42.5,11,8,11,8,176,1,10.17,12.81,23.23,102,2,2,2,2,4,12,NA,NA,NA,NA,246,TRUE,1e-05,0.99999
"137","P_melanocephalus_44804","DMNS",44804,"GMS-2389","male","100","",39245,"South Dakota","SD; Haakon County; Midland 4mi W",44.0834155,-101.0701267,"Pheucticus melanocephalus",3,"GMS2389",163,46.8,14,11,10,9,244,1,10.02,13.18,22.85,102,2,2,2,2,4,12,NA,NA,NA,NA,246,TRUE,1e-05,0.99999
"138","P_melanocephalus_44805","DMNS",44805,"GMS-2390","male","100","",39245,"South Dakota","SD; Haakon County; Midland 4mi W",44.08443281,-101.0711539,"Pheucticus melanocephalus",3,"GMS2390",163,45.3,11,8,11,9,187,1,9.93,13.75,22.73,102,2,2,2,2,4,12,NA,NA,NA,NA,246,TRUE,1e-05,0.99999
"139","P_melanocephalus_44806","DMNS",44806,"GMS-2391","male","100","",39245,"South Dakota","SD; Haakon County; Midland 4mi W",44.08415663,-101.0724299,"Pheucticus melanocephalus",3,"GMS2391",163,47,13,8,12,9,212,1,9.66,13.22,20.59,106,2,2,2,2,4,12,NA,NA,NA,NA,246,TRUE,0.011507,0.988493
"140","P_melanocephalus_44808","DMNS",44808,"GMS-2393","male","100","",39245,"South Dakota","SD; Haakon County; Midland 4mi W",44.08535264,-101.0756057,"Pheucticus melanocephalus",3,"GMS2393",163,41.53,9,7,8,5,103,1,9.72,14.28,21.15,101,2,2,2,2,4,12,NA,NA,NA,NA,246,TRUE,1e-05,0.99999
"141","P_melanocephalus_44809","DMNS",44809,"GMS-2394","male","100","",39245,"South Dakota","SD; Haakon County; Midland 4mi W",44.08113361,-101.0813249,"Pheucticus melanocephalus",3,"GMS2394",163,45.5,12,9,10,9,198,1,9.85,13.35,22.52,100,2,2,2,2,4,12,NA,NA,NA,NA,246,TRUE,1e-05,0.99999
"142","P_melanocephalus_44810","DMNS",44810,"GMS-2395","male","100","",39245,"South Dakota","SD; Haakon County; Midland 4mi W",44.08113361,-101.0813249,"Pheucticus melanocephalus",3,"GMS2395",163,51,11,7,10,8,157,1,9.91,12.93,23.69,99,2,2,2,2,4,12,NA,NA,NA,NA,246,TRUE,1e-05,0.99999
"144","P_melanocephalus_44837","DMNS",44837,"GMS-2422","male","100","",39247,"South Dakota","SD; Lawrence County; Spearfish 2mi N",44.44823004,-103.8680983,"Pheucticus melanocephalus",1,"GMS2422",165,51.2,12,8,10,8,176,1,10.61,13.72,22.66,106,2,2,2,2,4,12,NA,NA,NA,NA,0,TRUE,1e-05,0.99999
"145","P_melanocephalus_44840","DMNS",44840,"GMS-2425","male","100","",39247,"South Dakota","SD; Lawrence County; Spearfish 2mi N",44.44782528,-103.8700063,"Pheucticus melanocephalus",1,"GMS2425",165,43.3,11,7,9,8,149,1,9.44,13.71,21.56,102,2,2,2,2,4,12,NA,NA,NA,NA,0,TRUE,1e-05,0.99999
"147","P_melanocephalus_44843","DMNS",44843,"GMS-2428","male","100","",39247,"South Dakota","SD; Lawrence County; Spearfish 2mi N",44.44673002,-103.8719985,"Pheucticus melanocephalus",1,"GMS2428",165,47.9,13,7,9,8,163,1,11.13,14.95,21.41,100,2,2,2,2,4,12,NA,NA,NA,NA,0,TRUE,1e-05,0.99999
"149","P_melanocephalus_44845","DMNS",44845,"GMS-2430","male","100","",39247,"South Dakota","SD; Lawrence County; Spearfish 2mi N",44.44705959,-103.8677994,"Pheucticus melanocephalus",1,"GMS2430",165,45.5,10,8,8,8,144,1,10.09,13.69,22.19,107,2,2,2,2,4,12,NA,NA,NA,NA,0,TRUE,1e-05,0.99999
"150","P_melanocephalus_44846","DMNS",44846,"GMS-2431","male","100","",39247,"South Dakota","SD; Lawrence County; Spearfish 2mi N",44.44308104,-103.8706121,"Pheucticus melanocephalus",1,"GMS2431",165,45.4,12,9,12,11,240,1,9.37,13.2,21.32,106,2,2,2,2,4,12,NA,NA,NA,NA,0,TRUE,1e-05,0.99999
"151","P_melanocephalus_44847","DMNS",44847,"GMS-2432","male","100","",39247,"South Dakota","SD; Lawrence County; Spearfish 2mi N",44.46058103,-103.8543777,"Pheucticus melanocephalus",1,"GMS2432",165,47.5,12,8,11,8,184,1,9.81,13.02,22.09,103,2,2,2,2,4,12,NA,NA,NA,NA,0,TRUE,1e-05,0.99999
"152","P_melanocephalus_44848","DMNS",44848,"GMS-2433","male","100","",39247,"South Dakota","SD; Lawrence County; Spearfish 2mi N",44.46058103,-103.8543777,"Pheucticus melanocephalus",1,"GMS2433",165,50.3,11,9,9,8,171,1,10.29,13.35,21.03,105,2,2,2,2,4,12,NA,NA,NA,NA,0,TRUE,1e-05,0.99999
"153","P_melanocephalus_44853","DMNS",44853,"GMS-2438","male","100","",39251,"South Dakota","SD; Lawrence County; Higgins Gulch; Spearfish 1.5mi NE",44.4833,-103.9333,"Pheucticus melanocephalus",1,"GMS2438",169,43.5,11,8,8,8,152,1,10.14,13.14,21.86,101,2,2,2,2,4,12,NA,NA,NA,NA,0,TRUE,1e-05,0.99999
"154","P_melanocephalus_44854","DMNS",44854,"GMS-2439","male","100","",39251,"South Dakota","SD; Lawrence County; Higgins Gulch; Spearfish 1.5mi NE",44.4833,-103.9333,"Pheucticus melanocephalus",1,"GMS2439",169,44.8,12,8,9,8,168,1,10.11,13.01,20.75,101,2,2,2,2,4,12,NA,NA,NA,NA,0,TRUE,1e-05,0.99999
"97","P_melanocephalus_45175","DMNS",45175,"GMS-2344_2","male","100","",39237,"South Dakota","SD; Gregory County; Platte 20mi E",43.37310076,-99.16593499,"Pheucticus melanocephalus",8,"GMS2344_2",155,42.2,12,8,10,9,186,0,9.41,12.46,22.31,102,2,2,2,2,4,12,NA,NA,NA,NA,425,TRUE,0.912064,0.087936
"155","P_melanocephalus_45200","DMNS",45200,"GMS-2778","male","100","no phenotype info",39978,"South Dakota","SD; Harding County; 1 mile ENE of Murchison",45.391505,-103.253161,"",1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,1e-05,0.99999
"156","P_melanocephalus_45232","DMNS",45232,"GMS-2810","female","100","no phenotype info",41051,"South Dakota","SD; Lawrence County; Higgins Gulch; Spearfish 1.5mi NE",44.4833,-103.9333,"",1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,1e-05,0.99999
"17","P_melanocephalus_45709","DMNS",45709,"","male","100","no phenotype info",42216,"Colorado","751 Willow Lake Dr.; Franktown",39.370718,-104.78205,"Pheucticus melanocephalus",0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,1e-05,0.99999
"18","P_melanocephalus_45926","DMNS",45926,"","unknown","unknown","no phenotype info",41851,"Colorado","636 Willow Lake Drive; Franktown",39.36666667,-104.45,"Pheucticus melanocephalus",0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,1e-05,0.99999
